"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"regionVal[1]",0.000314002560726667,0.000181485722563868,1.8868e-05,0.000139875,0.00034075,0.0004497,0.000685405,1,1
"regionVal[2]",0.000291961366073333,0.000179398568871495,-8.7711e-06,0.000130025,0.0003192,0.0004098,0.00063361,1,1
"regionVal[3]",0.000311406904329333,0.000179052136810853,9.057475e-06,0.0001349,0.00034095,0.000432,0.0006481,1,1
"regionVal[4]",0.00032722411583,0.000180473373145553,4.428525e-05,0.0001507,0.0003769,0.0004485,0.0006701075,1,1
"regionVal[5]",0.000315699393353333,0.000187054896394668,-7.39557499999996e-07,0.0001625,0.0003354,0.0004489,0.000711805,2.58410645346853,4
"regionVal[6]",0.000320235293568,0.00019439887119383,-1.7591e-05,0.000138375,0.00035475,0.0004845,0.0006686025,1,1
"regionVal[7]",0.000332188343560667,0.000195076371511697,1.114e-05,0.000158175,0.0003577,0.000487525,0.00069821,1,1
"regionVal[8]",0.000475932864,0.000195886478354746,0.0001214,0.0003114,0.000511549997556446,0.0006135,0.000841109997682333,3.08446180658816,4
"regionVal[9]",0.000306358173981933,0.000188663675667628,-3.7891e-05,0.000141775,0.0003423,0.0004337,0.00067891,1,1
"regionVal[10]",0.000314149894548667,0.000172159154779198,8.43235e-06,0.0001681,0.0003295,0.000445,0.0006666025,1,1
"regionVal[11]",0.00032595862951852,0.000195321981015373,-1.3711e-05,0.0001716,0.00035695,0.0004684,0.0006838025,2.76183784434263,4
"regionVal[12]",0.000329394602134667,0.000197022527900415,-9.655775e-06,0.000150075,0.00036125,0.000491525,0.000689505,3.21354460762604,4
"regionVal[13]",0.000343762405902867,0.000195835374390764,1.0789e-05,0.0001757,0.0003536,0.000485325,0.0007505075,2.89345319396385,4
"regionVal[14]",0.000499507722,0.000206184322122957,0.000153097499203609,0.0003438,0.0005107,0.0006099,0.000914004999466707,2.47436968639088,4
"regionVal[15]",0.0003229615952962,0.000186463171336403,1.022925e-05,0.0001609,0.0003479,0.000479,0.0006497025,1,1
"regionVal[16]",0.000340913105306667,0.000198805363372085,1.164675e-05,0.0001749,0.0003587,0.0005037,0.000743515,2.93552516690707,4
"regionVal[17]",0.000326895299605333,0.000200383075994641,-2.151125e-05,0.0001632,0.0003539,0.000461925,0.000737305,2.43823810835973,4
"regionVal[18]",0.000328105019793333,0.000185853938055114,1.1247e-05,0.0001766,0.0003475,0.0004472,0.0007196125,2.63634311588221,4
"regionVal[19]",0.000318187421117333,0.00019124314236271,6.3432250000001e-07,0.000152,0.0003586,0.0004323,0.0007208025,2.75412926991867,4
"regionVal[20]",0.000342731235446667,0.000194291481400656,-8.437275e-06,0.00018095,0.00037205,0.0004768,0.000759025,2.68902286808135,4
"countryVal[1]",0.00029197585245,0.000182890380998607,-2.128025e-05,0.0001308,0.0003158,0.000410125,0.0006446025,1,1
"countryVal[2]",0.000311871941846667,0.00018297141645768,-6.4087e-06,0.00013995,0.0003399,0.0004328,0.0006528025,1,1
"countryVal[3]",0.000343232602556667,0.000185292403215569,4.71295e-05,0.000176275,0.00038575,0.000457,0.0006905075,2.79960733167048,4
