"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"countryVal[1]",5.7203656686e-07,1.83856074643146e-06,-3.043075e-06,-6.63925e-07,5.8085e-07,1.799e-06,4.191125e-06,1,1
"countryVal[2]",7.92042440473333e-08,2.31270298036418e-06,-4.43105e-06,-1.496e-06,7.212e-08,1.661e-06,4.58605e-06,1,1
"countryVal[3]",1.46161878964733e-06,1.98133366419185e-06,-2.403025e-06,1.393e-07,1.468e-06,2.78525e-06,5.361e-06,1,1
"countryVal[4]",1.37509919122413e-06,2.27996608528538e-06,-3.05805e-06,-1.6855e-07,1.36e-06,2.89625e-06,5.94905e-06,1,1
"countryVal[5]",5.15124831700667e-07,1.6035598090198e-06,-2.6111e-06,-5.481e-07,4.89e-07,1.586e-06,3.733075e-06,1,1
"countryVal[6]",6.08212016846667e-06,1.94214691531483e-06,2.316875e-06,4.76675e-06,6.066e-06,7.36425e-06,9.91105e-06,1,1
"countryVal[7]",1.20218548185333e-06,2.18374953320538e-06,-3.06405e-06,-2.78325e-07,1.208e-06,2.68325e-06,5.5611e-06,1,1
"countryVal[8]",1.12132842668e-06,1.63943502777112e-06,-2.06005e-06,7.44175e-09,1.109e-06,2.21e-06,4.41015e-06,1,1
"countryVal[9]",1.76507997690667e-06,1.69089250748854e-06,-1.458e-06,6.032e-07,1.7545e-06,2.915e-06,5.100025e-06,1,1
"countryVal[10]",9.1849875653e-07,2.4845736428669e-06,-3.925075e-06,-7.73325e-07,8.916e-07,2.598e-06,5.737025e-06,1,1
"countryVal[11]",4.45648718173333e-06,2.08629230558998e-06,3.73155e-07,3.04175e-06,4.454e-06,5.846e-06,8.565075e-06,1,1
"countryVal[12]",3.73502852406667e-06,1.99321150817081e-06,-1.796975e-07,2.413e-06,3.715e-06,5.054e-06,7.72105e-06,1,1
"countryVal[13]",3.3812562012e-07,1.68161016426955e-06,-2.968075e-06,-7.88225e-07,3.4115e-07,1.473e-06,3.603e-06,1,1
"countryVal[14]",4.3723402965e-06,2.15643341987095e-06,1.71535e-07,2.9305e-06,4.356e-06,5.819e-06,8.638225e-06,1,1
"countryVal[15]",1.33278193328733e-06,2.16137363066198e-06,-2.879025e-06,-1.402e-07,1.3025e-06,2.809e-06,5.63505e-06,1,1
"countryVal[16]",1.647579205402e-06,1.97573796163405e-06,-2.14605e-06,2.906e-07,1.6285e-06,2.96325e-06,5.603025e-06,1,1
"countryVal[17]",6.2689420774e-07,2.42013413795083e-06,-4.078025e-06,-1.01725e-06,6.256e-07,2.25825e-06,5.3222e-06,1,1
"countryVal[18]",8.99006004553333e-07,2.18510057880864e-06,-3.408175e-06,-5.7475e-07,8.7125e-07,2.38925e-06,5.178e-06,1,1
"countryVal[19]",3.52369709666667e-09,1.69029259526316e-06,-3.313025e-06,-1.1185e-06,-1.675e-09,1.145e-06,3.319025e-06,1,1
"countryVal[20]",8.64324106666667e-06,1.87706696731368e-06,5.01497499756948e-06,7.369e-06,8.63549998552487e-06,9.89349996209888e-06,1.237e-05,1.00175963987516,2300
"countryVal[21]",7.88781937266667e-07,1.72199240455784e-06,-2.56105e-06,-3.92375e-07,7.9265e-07,1.952e-06,4.114025e-06,1,1
"countryVal[22]",5.37882061766667e-07,1.83980839714838e-06,-3.002e-06,-7.24775e-07,5.3545e-07,1.78325e-06,4.17405e-06,1,1
