WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
AMR,Caribbean,Antigua and Barbuda,2015,0.0,0.98,0.0,0.98
AMR,South America,Argentina,2015,0.0,0.89,4.65332388088e-08,0.95
EUR,Western Asia,Armenia,2015,0.0,0.97,0.0,0.97
WPR,Australia/New Zealand,Australia,2015,7.50970942848e-07,0.91,7.19657443057e-07,0.93
EUR,Western Europe,Austria,2015,1.17033116861e-07,0.96,1.29154670937e-06,0.96
EUR,Western Asia,Azerbaijan,2015,0.0,0.98,0.0,0.98
AMR,Caribbean,Bahamas,2015,0.0,0.94,0.0,0.92
EMR,Western Asia,Bahrain,2015,7.26089860881e-07,0.99,5.87401701996e-06,0.99
SEAR,Southern Asia,Bangladesh,2015,1.17394483478e-06,0.88,2.39505886156e-06,0.88
AMR,Caribbean,Barbados,2015,0.0,0.96,0.0,0.95
EUR,Eastern Europe,Belarus,2015,1.05309383171e-07,0.99,1.05258504361e-07,0.99
AMR,Central America,Belize,2015,0.0,0.96,0.0,0.95
SEAR,Southern Asia,Bhutan,2015,1.29060568125e-06,0.97,0.0,0.97
AMR,South America,Bolivia (Plurinational State of),2015,0.0,0.99,0.0,0.99
AMR,South America,Brazil,2015,0.0,0.99,4.85253392043e-09,0.99
WPR,South-Eastern Asia,Brunei Darussalam,2015,0.0,0.96,0.0,0.97
EUR,Eastern Europe,Bulgaria,2015,6.99321238806e-07,0.92,9.72045363969e-07,0.93
AFR,Western Africa,Cabo Verde,2015,0.0,0.95,0.0,0.79
WPR,South-Eastern Asia,Cambodia,2015,1.15548308822e-06,0.81,1.89194514142e-06,0.8
AMR,NORTHERN AMERICA,Canada,2015,0.0,0.9,2.80995251461e-08,0.9
AMR,South America,Chile,2015,0.0,0.96,0.0,0.97
WPR,Eastern Asia,China,2015,5.91040025074e-06,0.99,8.61157647515e-06,0.99
AMR,South America,Colombia,2015,0.0,0.94,0.0,0.91
AMR,Central America,Costa Rica,2015,0.0,0.93,0.0,0.95
AMR,Caribbean,Cuba,2015,0.0,0.99,0.0,0.99
EUR,Western Asia,Cyprus,2015,0.0,0.9,0.0,0.86
EUR,Eastern Europe,Czech Republic,2015,0.0,0.99,9.4852632208e-08,0.99
AMR,Caribbean,Dominica,2015,0.0,0.96,0.0,0.94
AMR,Caribbean,Dominican Republic,2015,0.0,0.9,0.0,0.88
AMR,South America,Ecuador,2015,0.0,0.84,0.0,0.85
EMR,Northern Africa,Egypt,2015,5.79183827264e-07,0.92,2.34428191129e-07,0.93
AMR,Central America,El Salvador,2015,0.0,0.95,0.0,0.95
EUR,Northern Europe,Estonia,2015,0.0,0.93,0.0,0.93
EUR,Western Asia,Georgia,2015,2.50011875564e-05,0.96,3.69289947135e-05,0.92
EUR,Western Europe,Germany,2015,1.11539989255e-06,0.97,1.87237449077e-06,0.97
AFR,Western Africa,Ghana,2015,4.37798181605e-07,0.89,9.70634571017e-07,0.92
EUR,Southern Europe,Greece,2015,0.0,0.97,0.0,0.97
AMR,Caribbean,Grenada,2015,0.0,0.99,0.0,0.94
AMR,Central America,Guatemala,2015,0.0,0.99,0.0,0.67
AMR,South America,Guyana,2015,0.0,0.99,0.0,0.99
AMR,Caribbean,Haiti,2015,0.0,0.53,0.0,0.53
AMR,Central America,Honduras,2015,0.0,0.87,0.0,0.88
EUR,Eastern Europe,Hungary,2015,0.0,0.99,0.0,0.99
EUR,Northern Europe,Iceland,2015,0.0,0.93,0.0,0.9
EMR,Southern Asia,Iran (Islamic Republic of),2015,5.6883346288e-07,0.99,1.79157254512e-07,0.99
EMR,Western Asia,Iraq,2015,5.49097558163e-08,0.62,2.26800505425e-07,0.6
EUR,Northern Europe,Ireland,2015,1.27973518013e-06,0.93,6.41689268389e-07,0.93
EUR,Western Asia,Israel,2015,1.24007321392e-07,0.98,0.0,0.96
AMR,Caribbean,Jamaica,2015,0.0,0.91,0.0,0.92
WPR,Eastern Asia,Japan,2015,1.28778951167e-06,0.96,2.5237675812e-06,0.98
EMR,Western Asia,Jordan,2015,0.0,0.96,1.34842126838e-07,0.98
EUR,Central Asia,Kazakhstan,2015,1.13473696513e-07,0.99,8.74990357837e-06,0.99
EMR,Western Asia,Kuwait,2015,2.56929385528e-07,0.93,3.19733981328e-06,0.94
EUR,Central Asia,Kyrgyzstan,2015,1.68351302029e-05,0.99,4.1070432369e-06,0.96
WPR,South-Eastern Asia,Lao People's Democratic Republic,2015,6.61568181217e-06,0.88,2.98984946108e-07,0.87
EUR,Northern Europe,Latvia,2015,0.0,0.96,5.02676753714e-07,0.95
EMR,Western Asia,Lebanon,2015,1.53826695427e-06,0.75,3.20735553536e-06,0.75
EUR,Northern Europe,Lithuania,2015,0.0,0.94,0.0,0.93
WPR,South-Eastern Asia,Malaysia,2015,1.12096497941e-06,0.93,7.69179319109e-06,0.94
SEAR,Southern Asia,Maldives,2015,8.24946378485e-06,0.99,0.0,0.97
EUR,Southern Europe,Malta,2015,0.0,0.89,0.0,0.98
AFR,Eastern Africa,Mauritius,2015,3.92708194249e-06,0.99,4.72973505601e-06,0.98
AMR,Central America,Mexico,2015,0.0,0.97,0.0,0.97
WPR,Micronesia,Micronesia (Federated States of),2015,0.0,0.91,0.0,0.91
WPR,Eastern Asia,Mongolia,2015,9.46224059098e-06,0.98,3.43657964101e-07,0.98
EMR,Northern Africa,Morocco,2015,1.74532710484e-07,0.99,0.0,0.99
SEAR,Southern Asia,Nepal,2015,2.19543587819e-05,0.85,2.49869386457e-05,0.88
WPR,Australia/New Zealand,New Zealand,2015,0.0,0.93,8.89782626104e-07,0.93
AMR,Central America,Nicaragua,2015,0.0,0.99,0.0,0.99
EUR,Northern Europe,Norway,2015,0.0,0.95,5.82753978753e-07,0.94
WPR,Micronesia,Palau,2015,0.0,0.95,0.0,0.83
AMR,Central America,Panama,2015,0.0,0.9,0.0,0.9
AMR,South America,Paraguay,2015,0.0,0.83,0.0,0.89
AMR,South America,Peru,2015,0.0,0.92,0.0,0.89
WPR,South-Eastern Asia,Philippines,2015,1.52930404749e-06,0.82,2.66293613523e-06,0.88
EUR,Southern Europe,Portugal,2015,0.0,0.98,2.88396649215e-07,0.98
EMR,Western Asia,Qatar,2015,3.13148665092e-06,0.99,9.20780637825e-06,0.99
WPR,Eastern Asia,Republic of Korea,2015,5.96499265113e-08,0.98,2.19673126388e-07,0.99
EUR,Eastern Europe,Republic of Moldova,2015,0.0,0.89,0.0,0.9
EUR,Eastern Europe,Romania,2015,4.10018389325e-07,0.86,1.52659713865e-06,0.89
EUR,Eastern Europe,Russian Federation,2015,1.7426834481e-07,0.98,5.01988991939e-07,0.98
AMR,Caribbean,Saint Kitts and Nevis,2015,0.0,0.95,0.0,0.93
AMR,Caribbean,Saint Lucia,2015,0.0,0.97,0.0,0.99
AMR,Caribbean,Saint Vincent and the Grenadines,2015,0.0,0.99,0.0,0.99
EMR,Western Asia,Saudi Arabia,2015,1.2682159404e-07,0.98,7.44660701827e-07,0.98
AFR,Western Africa,Senegal,2015,9.91455635335e-07,0.8,6.88359768166e-06,0.8
EUR,Southern Europe,Serbia,2015,1.12981839299e-06,0.86,2.24900537737e-07,0.86
AFR,Eastern Africa,Seychelles,2015,0.0,0.98,0.0,0.99
EUR,Eastern Europe,Slovakia,2015,0.0,0.95,0.0,0.97
EUR,Southern Europe,Slovenia,2015,0.0,0.94,0.0,0.94
EUR,Southern Europe,Spain,2015,6.50453040543e-08,0.96,1.08085392648e-07,0.96
SEAR,Southern Asia,Sri Lanka,2015,4.34467567237e-07,0.99,4.84989807939e-07,0.99
AMR,South America,Suriname,2015,0.0,0.94,0.0,0.85
EUR,Northern Europe,Sweden,2015,0.0,0.98,0.0,0.98
EUR,Western Europe,Switzerland,2015,3.61504146453e-07,0.94,4.87128838271e-07,0.93
EMR,Western Asia,Syrian Arab Republic,2015,0.0,0.53,2.6634733397e-07,0.54
EUR,Central Asia,Tajikistan,2015,1.17898668452e-07,0.97,0.0,0.98
SEAR,South-Eastern Asia,Thailand,2015,3.53152236866e-06,0.99,2.24433814025e-06,0.99
EUR,Southern Europe,TFYR Macedonia,2015,4.81127763478e-07,0.89,0.0,0.93
AMR,Caribbean,Trinidad and Tobago,2015,0.0,0.89,0.0,0.96
EMR,Northern Africa,Tunisia,2015,2.22152120886e-06,0.98,1.52738282952e-06,0.98
EUR,Western Asia,Turkey,2015,2.03391993703e-07,0.94,3.99877250583e-07,0.94
EUR,Central Asia,Turkmenistan,2015,0.0,0.99,0.0,0.99
EMR,Western Asia,United Arab Emirates,2015,1.9329559155e-05,0.94,1.54080830804e-06,0.94
AFR,Eastern Africa,United Republic of Tanzania,2015,8.41586806313e-07,0.99,1.02078976323e-05,0.99
AMR,NORTHERN AMERICA,United States of America,2015,1.55388743322e-08,0.92,1.87823625977e-08,0.92
